gene,degree,betweenness,closeness,eigenvector,page_rank,clustering_coef,community,avg_edge_score,neighbor_connectivity,is_hub,is_bottleneck
ACTG1,10,6.07634405194636e-4,0.4098360655737705,0.05541647947738981,0.0036159388219530225,0.3,1,0.7484,41.6,FALSE,FALSE
ALYREF,46,0.01014206546773081,0.423728813559322,0.3223013872742146,0.009547398124069123,0.7865612648221344,2,0.6499130434782608,44.26086956521739,FALSE,FALSE
ANXA11,4,2.928140055815032e-4,0.33692722371967654,0.010116947372400965,0.0025587136835736016,0,1,0.6645,22,FALSE,FALSE
ANXA7,6,0.002831760159740523,0.38699690402476783,0.03964776126275982,0.0031273523436191187,0.3333333333333333,1,0.604,54.666666666666664,FALSE,FALSE
APAF1,24,0.007394711223603362,0.48828125,0.19481680063517912,0.0064622843373507155,0.6060606060606061,1,0.6674166666666667,52.166666666666664,FALSE,FALSE
ATF4,24,3.9293135835516126e-4,0.4562043795620438,0.1760610876182333,0.006301392646076899,0.8787878787878788,1,0.7231666666666666,53.5,FALSE,FALSE
ATF6,34,0.004250503339459966,0.48828125,0.22782809276986776,0.008622088127233009,0.6838235294117647,1,0.6974117647058824,49.88235294117647,FALSE,FALSE
ATG14,26,5.154946841378705e-4,0.41118421052631576,0.13388876612863376,0.006852836008068422,0.858974358974359,1,0.8690769230769231,43.23076923076923,FALSE,FALSE
BCL2,68,0.057872007813804076,0.5605381165919282,0.4101622652100837,0.017127617625598543,0.34224598930481287,1,0.7228235294117648,36.64705882352941,TRUE,TRUE
BCL2L1,52,0.01447233323968737,0.5102040816326531,0.31500450126534507,0.012710623206173133,0.47076923076923083,1,0.6181538461538462,39.30769230769231,TRUE,FALSE
BID,10,0,0.3943217665615142,0.08005024708129599,0.0033383589655107755,1,1,0.858,59.6,FALSE,FALSE
CASP3,62,0.04681536518514334,0.5530973451327433,0.38662834985596234,0.015506389356420961,0.3698924731182796,1,0.6570967741935484,38.96774193548387,TRUE,TRUE
CAT,6,0,0.38699690402476783,0.030513766481428287,0.0026636644333142417,1,1,0.7236666666666667,46,FALSE,FALSE
COX6A1,46,0.0039449100287900635,0.40192926045016075,0.9686703736018993,0.008897718645330245,0.9051383399209487,3,0.7744782608695652,45.391304347826086,FALSE,FALSE
COX6B1,48,0.007531721507026911,0.4139072847682119,0.9770515933899089,0.009335885680214826,0.8333333333333334,3,0.8946666666666666,44.583333333333336,TRUE,FALSE
CYC1,52,0.014617661056756777,0.423728813559322,0.9999999999999999,0.010213087751291651,0.7230769230769231,3,0.8886538461538461,42.69230769230769,TRUE,FALSE
DAXX,12,9.412251711576543e-5,0.42517006802721086,0.09851145118212482,0.0038009363473976774,0.8666666666666666,1,0.6813333333333333,72,FALSE,FALSE
DCTN2,16,0.011287850176260111,0.45787545787545786,0.07067201724631574,0.005385913565941078,0.21428571428571427,4,0.550625,43.75,FALSE,FALSE
DDIT3,42,0.051584923327986115,0.5122950819672131,0.4296539811315042,0.00986646855651209,0.4619047619047619,1,0.6802857142857143,47.42857142857143,FALSE,TRUE
DERL1,14,5.17577261710572e-4,0.4370629370629371,0.08760101529522504,0.004283581208914692,0.7142857142857143,1,0.6447142857142857,51.142857142857146,FALSE,FALSE
DNAH1,10,2.580645161290323e-5,0.38580246913580246,0.021088765717011473,0.005292552306371338,0.9,5,0.7386,27.2,FALSE,FALSE
DNAH11,6,2.580645161290323e-5,0.3834355828220859,0.01916615008160155,0.0034930845222050835,0.6666666666666666,5,0.6066666666666667,38.666666666666664,FALSE,FALSE
DNAH14,10,1.290322580645161e-4,0.38580246913580246,0.02100844783376687,0.00535969662667605,0.7,5,0.658,26.4,FALSE,FALSE
DNAH6,10,2.580645161290323e-5,0.38580246913580246,0.021088765717011477,0.005292552306371339,0.9,5,0.6086,27.2,FALSE,FALSE
DNAH7,10,2.580645161290323e-5,0.38580246913580246,0.021088765717011494,0.005292552306371338,0.9,5,0.6812,27.2,FALSE,FALSE
DNALI1,10,1.290322580645161e-4,0.38580246913580246,0.021008447833766868,0.0053596966266760485,0.7,5,0.658,26.4,FALSE,FALSE
EIF2AK3,28,5.905956983327162e-4,0.4664179104477612,0.2006359485253786,0.007222915905592686,0.8571428571428571,1,0.7296428571428571,50.42857142857143,FALSE,FALSE
ERBB4,12,0.023011067605594588,0.4098360655737705,0.05942385345725471,0.005345414862580524,0.33333333333333337,4,0.7136666666666667,43.333333333333336,FALSE,FALSE
ERN1,32,0.00526992817373424,0.4716981132075472,0.20836133911140434,0.008327212945061654,0.6666666666666666,1,0.742875,47.125,FALSE,FALSE
FUS,38,0.04001469258851291,0.49800796812749004,0.1822935659359155,0.010777567355726912,0.3333333333333333,1,0.6530526315789473,39.578947368421055,FALSE,TRUE
GABARAPL1,36,0.004201188286129453,0.46296296296296297,0.19738867062019944,0.009051732225734289,0.6797385620915033,1,0.7504444444444445,45.77777777777778,FALSE,FALSE
GABARAPL2,38,0.00828024538471195,0.4681647940074906,0.1987792444589119,0.009746285261995096,0.6081871345029239,1,0.7405263157894737,43.78947368421053,FALSE,FALSE
GLE1,44,0.004048605559118756,0.38699690402476783,0.30602038591662534,0.009129797444976707,0.8528138528138529,2,0.7886818181818182,42.72727272727273,FALSE,FALSE
GPX7,22,0.0022322804919822723,0.45787545787545786,0.14985158132795165,0.006353984782980103,0.7636363636363637,1,0.6288181818181818,53.27272727272727,FALSE,FALSE
GPX8,20,0.0019167343235439475,0.4562043795620438,0.14110453993933983,0.005904553305279234,0.8,1,0.6367,56,FALSE,FALSE
GRIA1,8,0.0019778177044806637,0.35014005602240894,0.02077013890140916,0.00353393768663776,0.5,4,0.7115,24.5,FALSE,FALSE
