Gene_Symbol,mRNA_logFC,mRNA_adjPval
ARHGAP36,-3.468690914,1.2000000000000001e-29
ECEL1,-4.076987926,5.33e-27
GABRE,-3.466291658,6.31e-26
POMC,-3.454673286,1.17e-25
GAL,-3.263269968,4.9999999999999997e-23
SELE,-3.752412894,5.95e-22
TRH,-2.716928015,1.95e-20
DIRAS3,-2.049480107,3.37e-20
GABRQ,-2.460707718,1.58e-17
CSF3,-2.929816455,4.72e-17
CALCR,-2.407742386,2.32e-16
ANKRD20A9P,-2.064424916,4.55e-15
CXCL8,-2.533251755,4.74e-14
ESR1,-1.634913259,1.2e-11
IRS4,-1.255800669,1.85e-08
MYBPH,-2.045859913,1.94e-08
MPZ,-1.097919836,3.02e-08
CCDC129,-1.608490209,3.92e-08
PGR,-1.476022191,6.25e-08
MRGPRE,-1.450165261,3.28e-07
ZCCHC12,-1.330446448,6.12e-07
DOK7,-1.222009747,8.82e-07
ARAP3,-1.116907451,1.02e-06
IFI6,-0.918033801,1.3e-06
TBX3,-1.414874469,1.3e-06
IL6,-1.787107195,1.84e-06
VWA5B1,-1.602019316,1.84e-06
ATP2A1,-1.161308471,2.24e-06
MAP3K15,-1.147659271,3.08e-06
ADGRG2,-1.364615783,3.18e-06
ZNF251,-0.425242546,3.2e-06
NPEPL1,-0.774506289,3.2e-06
LGR6,-1.630091555,3.36e-06
DGKK,-1.637760099,8.51e-06
GBP4,-0.733307482,9.95e-06
CXCL1,-1.636838775,9.95e-06
PMS2P1,-0.435959981,1.5e-05
IL1B,-1.775021705,2.17e-05
POFUT2,-0.584239687,2.5e-05
ABO,-1.153417377,2.9e-05
NLRP3,-0.642594961,3.37e-05
SIX3,-1.756356544,3.46e-05
KNCN,-1.262859029,3.55e-05
ANKRD34B,-1.012475344,3.58e-05
HTR7,-0.977142746,3.72e-05
SCUBE1,-1.174946982,4.71e-05
ECE2,-0.676462468,6.12e-05
EEF1AKMT4-ECE2,-0.671358386,6.25e-05
FNIP2,0.340253307,6.68e-05
PXDN,-0.85083429,6.95e-05
EXOSC10,-0.405117609,6.95e-05
NRP2,-0.810296807,7.02e-05
COLEC11,-1.263811958,7.06e-05
ZNF534,-0.65383108,7.18e-05
GOLGA2P5,-0.788430937,7.93e-05
IGFALS,-0.997635646,8.59e-05
CHTF18,-0.847964466,8.59e-05
TPH1,-1.050790592,8.59e-05
MOV10,-0.695350653,8.59e-05
EPHA8,-0.960419843,8.68e-05
LINC01572,-0.644838552,9.07e-05
GIMAP7,-0.739549705,9.45e-05
RTEL1-TNFRSF6B,-0.813259545,9.69e-05
TMEM91,-0.505879405,0.000108505
TTC25,-0.558640363,0.000110217
GOLT1A,-0.911119837,0.0001107
CITED1,-0.945434331,0.0001107
WDR90,-0.890292491,0.000114441
CFAP99,-0.901534402,0.000132873
MSTO2P,-0.571142383,0.000136175
RYR1,-0.644121737,0.000145059
ADGRD1,-0.89572319,0.000145059
MGC12916,-0.939136921,0.0001464
MIR7161,-0.779145596,0.000157427
MYT1,-0.567927623,0.000157427
IDUA,-0.808383529,0.000157427
